ResponseID,Gender,Age,AgeGroup,ITExperience,University,YearOfStudy,PythonUse,JavaUse,CppUse,JavaScriptUse,ChatGPTUsage,PEOU1,PEOU2,PEOU3,PEOU4,PR1,PR2,PR3,PR4,AIL1,AIL2,AIL3,AIL4,TR1,TR2,TR3,TR4,ANX1,ANX2,ANX3,ANX4,PU1,PU2,PU3,PU4,PLV1,PLV2,PLV3,PLV4,HM1,HM2,HM3,HM4,BI1,BI2,BI3,PEOU_Mean,PR_Mean,AIL_Mean,TR_Mean,ANX_Mean,PU_Mean,PLV_Mean,HM_Mean,BI_Mean
11,1,23,2,1,2,2,1,1,0,0,1,7,7,7,5,6,3,2,3,5,6,5,5,7,7,6,7,1,2,2,1,5,6,6,6,3,2,4,2,3,3,2,3,4,3,5,6.5,3.5,5.25,6.75,1.5,5.75,2.75,2.75,4.0
12,0,20,1,1,3,4,0,1,0,0,3,7,6,6,7,1,1,1,2,4,5,7,5,4,5,4,5,4,4,4,5,4,5,6,5,7,7,7,7,3,5,5,4,4,4,6,6.5,1.25,5.25,4.5,4.25,5.0,7.0,4.25,4.667
13,0,25,3,0,1,3,1,0,0,0,2,4,4,5,6,3,2,3,1,3,3,3,3,7,6,7,4,6,5,4,5,7,6,5,6,6,6,6,7,7,7,5,5,7,6,7,4.75,2.25,3.0,6.0,5.0,6.0,6.25,6.0,6.667
14,1,29,3,1,1,3,1,0,1,0,3,6,6,5,6,4,4,5,5,4,4,5,5,4,4,4,4,4,3,2,4,5,4,5,5,7,5,5,5,4,4,6,4,7,6,7,5.75,4.5,4.5,4.0,3.25,4.75,5.5,4.5,6.667
15,1,22,2,1,5,3,1,1,1,0,3,5,6,4,4,4,4,4,6,6,6,5,5,3,3,2,2,5,3,4,3,4,6,5,6,5,6,4,6,5,5,5,4,5,4,4,4.75,4.5,5.5,2.5,3.75,5.25,5.25,4.75,4.333
16,1,21,2,0,4,4,1,1,0,1,2,4,5,4,4,4,6,4,4,6,5,6,6,5,4,2,6,5,5,4,5,6,6,6,6,5,6,5,4,3,2,3,3,3,4,4,4.25,4.5,5.75,4.25,4.75,6.0,5.0,2.75,3.667
17,1,18,1,0,2,2,1,0,1,0,2,4,6,5,6,5,6,5,4,4,3,4,3,7,6,6,7,5,4,5,4,6,5,4,5,3,3,3,4,4,4,3,3,5,7,7,5.25,5.0,3.5,6.5,4.5,5.0,3.25,3.5,6.333
18,0,21,2,0,2,2,1,0,1,0,1,7,6,6,6,4,5,5,5,5,5,4,4,4,4,2,4,4,3,1,3,6,5,4,5,6,7,3,6,1,2,3,2,4,6,6,6.25,4.75,4.5,3.5,2.75,5.0,5.5,2.0,5.333
19,1,23,2,0,2,2,1,0,0,0,2,6,5,6,5,5,6,5,4,5,4,6,5,5,6,4,5,3,3,2,3,7,6,6,6,5,7,5,6,4,4,4,5,4,5,6,5.5,5.0,5.0,5.0,2.75,6.25,5.75,4.25,5.0
20,1,18,1,0,4,4,0,0,0,0,1,5,3,4,5,4,3,2,2,2,2,3,3,4,4,4,5,1,4,2,4,6,6,7,6,4,4,4,2,4,6,6,5,7,5,6,4.25,2.75,2.5,4.25,2.75,6.25,3.5,5.25,6.0
21,0,28,3,0,5,3,0,0,0,0,3,6,5,5,4,2,3,4,3,4,3,4,4,4,4,3,4,4,4,1,5,7,7,7,6,4,5,4,5,3,3,4,3,5,4,5,5.0,3.0,3.75,3.75,3.5,6.75,4.5,3.25,4.667
22,1,22,2,0,4,1,1,0,0,0,3,4,4,5,5,3,2,2,2,5,5,6,6,4,4,4,4,4,5,3,5,3,4,4,2,6,7,6,6,5,6,4,6,6,4,7,4.5,2.25,5.5,4.0,4.25,3.25,6.25,5.25,5.667
23,1,24,3,0,1,4,1,0,0,0,3,5,5,6,5,3,3,2,2,5,5,7,6,4,5,4,3,5,3,4,2,5,6,7,6,5,4,4,4,5,6,6,5,5,6,6,5.25,2.5,5.75,4.0,3.5,6.0,4.25,5.5,5.667
24,1,22,2,1,1,2,1,1,1,0,3,4,4,5,4,4,3,4,4,5,4,5,5,3,3,3,4,3,3,3,1,7,6,5,6,5,7,7,7,5,5,5,5,5,5,5,4.25,3.75,4.75,3.25,2.5,6.0,6.5,5.0,5.0
25,1,22,2,0,2,1,1,0,1,0,2,7,6,6,4,6,5,5,5,2,1,2,3,4,2,2,3,4,5,5,5,5,5,3,6,1,2,3,4,2,3,3,2,5,6,6,5.75,5.25,2.0,2.75,4.75,4.75,2.5,2.5,5.667
26,0,23,2,0,3,2,1,0,0,0,2,5,7,5,6,4,5,5,6,4,4,4,5,6,4,5,5,3,6,5,3,6,5,4,6,4,4,4,3,6,6,4,4,7,7,6,5.75,5.0,4.25,5.0,4.25,5.25,3.75,5.0,6.667
27,1,24,3,1,2,2,1,1,0,0,3,3,4,4,5,2,1,3,1,4,2,5,4,7,5,6,6,5,5,4,4,7,6,5,5,4,3,1,2,5,5,5,5,5,5,3,4.0,1.75,3.75,6.0,4.5,5.75,2.5,5.0,4.333
28,1,27,3,0,3,4,1,0,0,0,1,7,7,6,7,4,5,5,4,6,4,5,5,7,6,5,5,3,2,2,2,4,6,5,3,4,4,4,4,5,4,4,4,5,4,7,6.75,4.5,5.0,5.75,2.25,4.5,4.0,4.25,5.333
29,0,20,1,0,4,1,0,0,1,0,1,4,3,2,2,2,2,1,1,4,4,3,4,4,4,3,4,4,4,3,4,5,6,5,6,3,3,4,4,4,4,5,3,7,6,5,2.75,1.5,3.75,3.75,3.75,5.5,3.5,4.0,6.0
30,1,19,1,1,1,3,1,0,0,1,3,5,5,4,4,4,5,5,5,3,3,3,4,3,4,3,3,4,5,2,4,6,6,6,5,4,5,7,5,3,6,4,6,6,6,4,4.5,4.75,3.25,3.25,3.75,5.75,5.25,4.75,5.333
31,0,18,1,1,3,3,1,1,0,0,3,5,6,5,7,3,4,4,3,2,1,2,3,4,3,5,5,1,1,1,1,6,3,6,4,6,5,4,4,6,5,6,6,5,6,6,5.75,3.5,2.0,4.25,1.0,4.75,4.75,5.75,5.667
32,1,22,2,1,4,1,1,1,0,1,3,7,5,5,6,5,5,5,4,5,7,5,7,7,6,7,7,1,1,1,2,7,3,4,4,3,5,3,4,7,7,7,6,3,4,5,5.75,4.75,6.0,6.75,1.25,4.5,3.75,6.75,4.0
33,1,29,3,1,1,4,1,0,0,0,3,6,4,5,5,1,3,2,1,4,3,3,5,6,5,5,5,5,4,5,5,6,5,6,5,3,3,2,3,4,4,4,6,7,6,7,5.0,1.75,3.75,5.25,4.75,5.5,2.75,4.5,6.667
34,0,19,1,1,3,2,1,1,0,0,3,5,6,6,6,5,5,5,5,4,4,4,5,5,6,6,5,4,4,4,4,5,4,5,5,7,6,7,7,6,7,6,5,6,5,7,5.75,5.0,4.25,5.5,4.0,4.75,6.75,6.0,6.0
35,0,23,2,0,2,2,1,0,0,0,2,6,6,5,6,1,2,2,2,5,3,4,5,7,5,6,5,2,5,3,3,5,4,4,3,5,6,3,4,6,5,6,4,5,3,5,5.75,1.75,4.25,5.75,3.25,4.0,4.5,5.25,4.333
36,0,20,1,1,2,2,1,0,0,0,3,7,3,3,4,3,2,4,2,3,3,4,4,6,5,6,5,2,3,2,1,5,6,6,6,3,4,3,4,3,5,4,4,6,7,7,4.25,2.75,3.5,5.5,2.0,5.75,3.5,4.0,6.667
37,1,29,3,0,2,4,1,1,0,0,2,7,6,7,5,4,2,3,1,3,4,3,2,4,6,5,5,6,5,5,4,5,7,6,6,5,5,6,7,5,4,4,5,5,6,6,6.25,2.5,3.0,5.0,5.0,6.0,5.75,4.5,5.667
38,1,21,2,1,4,2,0,0,0,0,1,5,5,5,5,4,1,1,1,3,2,3,4,5,5,6,4,4,3,4,2,6,7,5,5,5,5,4,4,3,4,3,3,3,4,4,5.0,1.75,3.0,5.0,3.25,5.75,4.5,3.25,3.667
39,0,22,2,0,2,1,0,0,0,0,2,7,6,6,5,4,5,5,4,3,1,5,2,5,3,3,4,2,2,2,1,4,4,6,5,4,3,6,6,5,5,5,4,7,7,7,6.0,4.5,2.75,3.75,1.75,4.75,4.75,4.75,7.0
40,1,22,2,1,5,1,1,1,0,0,1,4,5,4,4,7,6,4,4,4,5,6,6,4,3,1,3,7,5,4,5,6,6,6,5,4,4,5,5,3,3,2,1,6,4,5,4.25,5.25,5.25,2.75,5.25,5.75,4.5,2.25,5.0
41,1,23,2,0,1,2,1,0,0,0,3,5,5,5,6,6,6,7,7,3,3,3,4,6,5,5,5,2,3,4,4,6,4,5,3,1,2,3,4,5,5,2,3,4,3,2,5.25,6.5,3.25,5.25,3.25,4.5,2.5,3.75,3.0
42,1,18,1,0,4,3,1,0,1,0,2,3,4,5,5,5,4,2,3,7,6,6,6,7,7,6,7,2,3,3,2,5,2,5,2,5,6,6,5,4,4,4,4,3,5,5,4.25,3.5,6.25,6.75,2.5,3.5,5.5,4.0,4.333
43,1,19,1,0,2,2,1,0,0,0,2,4,4,4,3,6,6,4,5,6,6,5,6,5,3,3,5,3,3,3,5,5,5,4,5,5,2,5,3,6,7,7,7,6,5,5,3.75,5.25,5.75,4.0,3.5,4.75,3.75,6.75,5.333
44,0,28,3,1,1,1,1,0,0,0,3,5,6,5,7,4,4,4,4,5,4,6,6,6,7,6,5,2,1,1,2,7,7,7,7,5,3,4,4,7,6,6,6,1,3,3,5.75,4.0,5.25,6.0,1.5,7.0,4.0,6.25,2.333
45,1,21,2,0,3,1,1,0,0,1,3,5,4,6,4,5,5,4,3,6,3,4,3,6,5,5,6,5,3,4,4,6,5,5,5,6,6,7,5,5,4,5,5,4,5,5,4.75,4.25,4.0,5.5,4.0,5.25,6.0,4.75,4.667
46,0,29,3,0,2,2,1,0,0,0,2,7,5,6,6,3,1,4,3,5,6,6,7,4,5,4,3,3,4,3,4,6,6,5,6,5,7,7,6,5,4,5,6,4,5,6,6.0,2.75,6.0,4.0,3.5,5.75,6.25,5.0,5.0
47,1,29,3,0,1,4,1,0,0,0,2,2,4,4,4,4,2,3,4,3,5,4,4,4,4,3,3,4,3,3,2,6,4,5,5,7,6,6,7,5,6,6,6,4,3,5,3.5,3.25,4.0,3.5,3.0,5.0,6.5,5.75,4.0
48,1,23,2,1,5,2,1,0,1,0,2,7,7,7,7,5,3,4,3,6,4,4,6,5,4,3,4,5,4,5,5,6,5,4,6,6,6,7,5,1,3,3,1,4,6,4,7.0,3.75,5.0,4.0,4.75,5.25,6.0,2.0,4.667
49,0,22,2,1,3,4,0,0,0,1,2,5,5,4,4,2,3,2,2,5,5,5,5,6,2,5,4,3,1,1,1,7,5,6,4,6,4,3,4,4,5,6,5,4,6,5,4.5,2.25,5.0,4.25,1.5,5.5,4.25,5.0,5.0
50,1,28,3,0,5,2,0,1,0,0,2,5,6,5,5,4,5,4,2,5,4,4,5,4,3,2,4,2,2,3,1,6,5,4,3,2,3,3,3,3,2,4,4,4,3,4,5.25,3.75,4.5,3.25,2.0,4.5,2.75,3.25,3.667
51,0,23,2,0,1,1,0,0,0,1,3,7,5,7,7,3,3,3,4,4,5,6,5,6,6,4,6,2,1,3,2,5,4,4,4,6,6,6,5,5,3,4,4,7,5,7,6.5,3.25,5.0,5.5,2.0,4.25,5.75,4.0,6.333
52,0,18,1,0,5,4,1,1,0,0,2,5,4,4,3,4,4,5,5,4,2,4,4,3,4,3,3,3,4,2,3,6,4,6,5,6,6,7,7,4,3,4,3,6,6,7,4.0,4.5,3.5,3.25,3.0,5.25,6.5,3.5,6.333
53,0,21,2,0,1,2,0,1,0,0,3,6,6,6,5,2,3,2,1,4,5,4,4,4,3,3,3,4,4,4,3,4,5,4,5,3,4,5,4,5,5,3,5,5,4,6,5.75,2.0,4.25,3.25,3.75,4.5,4.0,4.5,5.0
54,0,18,1,0,1,3,1,1,0,0,3,4,4,4,5,4,3,3,4,4,4,4,6,5,4,3,4,4,4,3,3,4,4,4,5,5,6,6,5,5,6,6,4,6,5,5,4.25,3.5,4.5,4.0,3.5,4.25,5.5,5.25,5.333
55,0,28,3,1,5,4,0,0,1,0,1,6,7,7,7,6,6,6,5,5,4,5,6,3,4,5,5,3,4,4,2,7,6,6,5,4,5,5,5,5,6,4,5,6,6,6,6.75,5.75,5.0,4.25,3.25,6.0,4.75,5.0,6.0
56,0,21,2,0,1,1,1,0,0,0,2,4,4,4,7,4,5,6,3,4,2,4,4,5,5,5,6,3,2,2,3,6,5,6,5,6,7,7,6,6,4,5,5,5,5,5,4.75,4.5,3.5,5.25,2.5,5.5,6.5,5.0,5.0
57,1,18,1,1,2,1,0,0,0,1,2,5,5,3,4,5,6,5,6,3,2,3,4,7,6,7,7,6,4,5,5,5,6,5,4,1,4,4,5,6,5,4,4,3,1,2,4.25,5.5,3.0,6.75,5.0,5.0,3.5,4.75,2.0
58,1,23,2,0,1,3,1,0,0,1,3,5,3,4,6,4,5,3,5,3,4,5,3,5,6,5,3,7,6,5,5,5,5,4,4,7,7,7,7,7,6,7,6,5,5,6,4.5,4.25,3.75,4.75,5.75,4.5,7.0,6.5,5.333
59,1,22,2,0,4,2,0,0,0,0,2,6,5,4,4,3,4,4,4,6,6,5,6,4,4,5,6,4,4,3,2,7,6,7,6,4,6,7,5,3,4,4,3,4,3,4,4.75,3.75,5.75,4.75,3.25,6.5,5.5,3.5,3.667
60,1,20,1,0,1,1,0,0,0,0,3,4,6,4,3,4,6,5,3,7,7,6,7,2,4,2,4,2,4,2,3,6,5,4,4,7,7,7,7,6,6,7,6,4,5,5,4.25,4.5,6.75,3.0,2.75,4.75,7.0,6.25,4.667
61,1,20,1,1,4,1,1,0,1,0,3,4,4,5,5,7,6,6,5,3,2,3,4,5,7,5,3,5,6,4,5,5,6,5,5,4,5,4,5,5,5,3,5,7,5,6,4.5,6.0,3.0,5.0,5.0,5.25,4.5,4.5,6.0
62,1,23,2,1,1,1,1,1,0,1,3,6,5,4,3,1,2,1,1,4,4,4,3,4,5,3,6,2,2,1,1,5,5,4,4,7,6,5,7,5,5,6,5,5,5,4,4.5,1.25,3.75,4.5,1.5,4.5,6.25,5.25,4.667
63,0,22,2,1,1,3,0,1,0,0,1,4,5,3,4,2,1,1,2,4,2,5,5,4,4,5,4,3,3,2,2,5,6,6,6,4,4,4,4,3,5,4,3,3,5,5,4.0,1.5,4.0,4.25,2.5,5.75,4.0,3.75,4.333
64,1,21,2,1,5,1,1,0,0,1,2,6,5,7,7,5,5,5,4,5,5,6,7,5,3,4,7,3,3,3,4,7,7,6,6,5,6,4,5,3,4,4,3,4,6,7,6.25,4.75,5.75,4.75,3.25,6.5,5.0,3.5,5.667
65,1,21,2,1,2,2,0,0,0,1,2,5,5,5,5,3,3,3,3,4,4,5,5,6,6,6,6,2,1,3,1,5,3,4,5,5,5,6,6,5,5,6,5,6,6,5,5.0,3.0,4.5,6.0,1.75,4.25,5.5,5.25,5.667
66,0,23,2,0,2,3,1,1,1,0,2,6,6,4,6,3,3,3,1,3,2,4,4,4,3,4,3,2,3,2,2,7,6,6,5,7,7,7,7,5,5,6,5,3,3,5,5.5,2.5,3.25,3.5,2.25,6.0,7.0,5.25,3.667
67,1,23,2,1,3,2,1,1,1,0,1,5,7,6,5,3,2,1,2,6,5,6,7,1,3,1,2,3,3,3,2,6,7,6,5,4,5,5,5,5,7,6,4,4,3,6,5.75,2.0,6.0,1.75,2.75,6.0,4.75,5.5,4.333
68,0,22,2,1,5,1,1,0,0,1,3,5,3,5,4,3,3,3,2,5,5,2,4,3,5,5,4,4,3,3,3,7,7,6,6,6,6,7,5,3,5,3,5,5,4,5,4.25,2.75,4.0,4.25,3.25,6.5,6.0,4.0,4.667
69,1,26,3,0,5,3,1,1,0,0,3,5,6,6,5,1,4,2,2,4,2,4,3,5,5,5,5,4,3,2,3,6,5,5,6,4,5,5,3,7,7,7,7,5,4,5,5.5,2.25,3.25,5.0,3.0,5.5,4.25,7.0,4.667
70,0,20,1,0,2,1,0,0,1,1,2,6,5,7,5,7,7,6,5,4,2,4,3,5,4,5,7,3,3,3,1,5,4,5,4,5,7,6,6,5,6,7,5,6,4,6,5.75,6.25,3.25,5.25,2.5,4.5,6.0,5.75,5.333
71,0,19,1,0,5,3,1,0,0,0,1,4,6,6,5,4,3,4,1,5,6,5,7,7,5,5,5,2,4,2,3,6,7,7,7,5,5,5,5,5,5,7,6,7,7,7,5.25,3.0,5.75,5.5,2.75,6.75,5.0,5.75,7.0
72,1,18,1,1,2,4,1,0,0,0,1,6,6,6,7,5,4,4,4,5,4,4,6,6,5,4,6,3,3,3,3,7,6,7,5,5,4,4,5,5,5,4,3,4,4,3,6.25,4.25,4.75,5.25,3.0,6.25,4.5,4.25,3.667
73,1,22,2,0,5,2,1,1,0,1,3,7,7,6,6,3,6,4,4,5,4,4,5,4,3,4,4,4,3,4,3,5,6,3,5,5,6,5,6,5,4,2,5,6,5,6,6.5,4.25,4.5,3.75,3.5,4.75,5.5,4.0,5.667
74,0,23,2,1,1,2,1,0,0,0,1,5,6,6,6,5,6,5,6,3,3,4,4,2,3,4,2,4,4,2,4,6,4,6,4,4,5,6,5,4,4,4,6,7,5,7,5.75,5.5,3.5,2.75,3.5,5.0,5.0,4.5,6.333
75,0,23,2,1,2,2,0,0,1,0,1,5,3,4,5,6,6,4,3,5,5,4,6,4,5,5,6,3,5,4,5,7,5,7,5,5,4,4,4,6,6,6,5,7,5,7,4.25,4.75,5.0,5.0,4.25,6.0,4.25,5.75,6.333
76,0,19,1,0,2,2,0,0,1,0,3,4,1,5,4,5,5,6,4,6,6,5,4,7,6,6,6,4,3,3,4,5,3,5,2,4,5,5,4,3,4,3,5,4,4,4,3.5,5.0,5.25,6.25,3.5,3.75,4.5,3.75,4.0
77,0,20,1,1,4,4,1,0,0,0,2,5,5,3,5,3,2,3,3,5,3,6,6,4,3,4,5,5,6,2,3,6,7,3,7,4,4,3,6,3,3,4,3,7,7,7,4.5,2.75,5.0,4.0,4.0,5.75,4.25,3.25,7.0
78,1,18,1,0,5,4,0,1,0,1,2,6,5,4,4,4,3,2,3,6,3,5,4,5,5,4,5,5,5,5,5,7,5,7,6,6,4,5,6,5,6,5,5,2,2,3,4.75,3.0,4.5,4.75,5.0,6.25,5.25,5.25,2.333
79,1,20,1,0,5,2,0,0,0,1,1,6,6,7,5,4,4,5,3,5,5,5,5,5,5,4,7,2,3,1,2,6,7,5,6,4,4,6,4,4,4,6,6,5,4,4,6.0,4.0,5.0,5.25,2.0,6.0,4.5,5.0,4.333
80,1,21,2,1,2,3,1,0,0,0,3,4,3,3,2,3,2,2,3,5,4,4,4,4,4,3,3,2,3,1,2,5,5,5,4,4,5,5,6,4,2,3,4,7,7,7,3.0,2.5,4.25,3.5,2.0,4.75,5.0,3.25,7.0
81,0,20,1,0,1,4,0,0,0,0,1,4,7,5,4,3,4,4,3,3,3,4,2,5,6,3,4,5,5,6,6,4,4,4,4,3,3,3,3,3,3,4,4,5,4,4,5.0,3.5,3.0,4.5,5.5,4.0,3.0,3.5,4.333
82,0,22,2,1,1,4,1,1,0,1,2,5,5,6,4,4,5,6,2,4,4,4,4,6,6,6,7,3,2,2,2,7,7,7,7,5,4,6,6,5,6,7,6,7,7,7,5.0,4.25,4.0,6.25,2.25,7.0,5.25,6.0,7.0
83,1,27,3,0,1,2,1,0,0,0,2,5,4,5,2,6,6,4,4,2,1,2,2,4,4,4,4,1,1,1,1,5,6,5,4,5,6,6,5,6,5,4,4,4,3,6,4.0,5.0,1.75,4.0,1.0,5.0,5.5,4.75,4.333
84,1,20,1,0,5,2,0,0,0,1,2,6,7,7,7,2,1,2,2,7,6,7,7,3,4,3,4,4,1,3,2,6,5,6,5,5,5,5,4,4,2,2,5,4,4,4,6.75,1.75,6.75,3.5,2.5,5.5,4.75,3.25,4.0
85,1,22,2,0,4,2,1,0,0,0,2,6,5,5,4,5,4,3,3,6,4,5,6,3,4,4,6,3,4,3,3,4,6,6,4,7,6,7,7,4,6,4,3,5,5,6,5.0,3.75,5.25,4.25,3.25,5.0,6.75,4.25,5.333
86,1,22,2,0,2,4,0,1,1,0,1,7,7,7,7,4,4,4,4,3,3,4,3,2,2,2,3,1,1,1,1,6,5,6,5,2,4,2,1,4,4,3,4,5,4,7,7.0,4.0,3.25,2.25,1.0,5.5,2.25,3.75,5.333
87,0,20,1,1,3,1,0,0,0,1,1,5,4,7,5,4,5,4,4,4,4,4,7,6,5,5,7,6,5,4,4,5,4,5,3,6,5,6,5,5,5,5,5,6,3,5,5.25,4.25,4.75,5.75,4.75,4.25,5.5,5.0,4.667
88,0,23,2,0,4,3,1,1,1,0,1,7,6,6,6,4,5,4,4,4,2,4,4,6,6,4,5,3,2,2,2,5,6,4,3,5,5,6,6,6,4,6,6,5,5,5,6.25,4.25,3.5,5.25,2.25,4.5,5.5,5.5,5.0
89,0,25,3,1,3,2,0,1,0,0,3,7,6,7,7,5,7,5,4,5,5,5,6,6,6,5,6,2,4,3,4,4,3,4,4,5,6,5,6,6,4,6,6,7,6,7,6.75,5.25,5.25,5.75,3.25,3.75,5.5,5.5,6.667
90,1,28,3,0,4,2,1,1,0,0,2,6,6,7,7,5,5,6,4,3,3,2,2,5,6,4,3,3,1,4,4,7,6,7,6,6,5,5,4,4,1,5,2,7,7,6,6.5,5.0,2.5,4.5,3.0,6.5,5.0,3.0,6.667
91,1,19,1,0,1,2,1,0,0,0,3,3,6,3,3,5,5,6,5,3,4,4,5,5,4,4,5,2,1,1,1,4,4,5,4,5,7,6,4,5,6,5,5,5,4,4,3.75,5.25,4.0,4.5,1.25,4.25,5.5,5.25,4.333
92,0,29,3,1,5,4,1,0,0,0,2,4,4,7,5,5,5,5,4,5,4,4,5,4,5,4,2,3,1,2,3,4,4,4,4,6,6,7,7,6,7,6,7,2,4,3,5.0,4.75,4.5,3.75,2.25,4.0,6.5,6.5,3.0
93,0,22,2,0,3,1,0,0,1,0,2,4,5,5,4,4,3,3,3,5,6,5,5,6,5,5,5,1,2,2,2,4,2,3,4,3,3,5,5,6,6,6,7,1,2,2,4.5,3.25,5.25,5.25,1.75,3.25,4.0,6.25,1.667
94,0,20,1,1,4,3,1,1,1,0,2,7,5,5,6,6,4,5,4,4,5,4,4,4,2,3,4,6,5,4,3,5,4,5,3,7,6,4,6,4,4,5,6,5,4,7,5.75,4.75,4.25,3.25,4.5,4.25,5.75,4.75,5.333
95,0,22,2,0,5,1,1,0,0,0,2,6,6,5,5,3,4,4,4,2,1,1,3,5,3,5,5,4,4,2,3,6,5,5,5,4,2,4,3,7,7,7,7,7,6,6,5.5,3.75,1.75,4.5,3.25,5.25,3.25,7.0,6.333
96,1,29,3,0,3,1,0,0,1,0,1,4,3,5,4,5,4,3,4,4,4,5,4,4,5,4,5,3,3,3,3,7,4,6,6,2,4,3,4,4,6,5,5,6,6,7,4.0,4.0,4.25,4.5,3.0,5.75,3.25,5.0,6.333
97,1,23,2,0,2,2,0,0,0,0,3,6,6,6,5,5,3,3,3,4,5,3,3,6,5,4,6,4,2,1,1,6,5,5,4,6,7,6,6,6,5,5,5,5,4,5,5.75,3.5,3.75,5.25,2.0,5.0,6.25,5.25,4.667
98,1,20,1,0,4,2,0,0,0,1,2,2,5,2,3,4,4,3,5,5,4,3,5,3,3,3,5,5,4,4,4,7,7,7,5,4,2,5,5,4,4,5,4,4,3,6,3.0,4.0,4.25,3.5,4.25,6.5,4.0,4.25,4.333
99,1,23,2,1,2,2,1,1,0,0,2,6,6,7,7,4,3,4,4,5,6,6,5,5,6,3,6,5,5,5,5,7,7,4,4,3,3,3,3,4,3,3,3,6,6,7,6.5,3.75,5.5,5.0,5.0,5.5,3.0,3.25,6.333
100,1,19,1,1,1,2,1,0,0,0,3,5,6,3,4,3,3,2,3,2,3,3,2,5,3,5,4,6,4,4,4,6,5,7,6,4,3,4,4,4,3,3,3,7,6,7,4.5,2.75,2.5,4.25,4.5,6.0,3.75,3.25,6.667
101,1,20,1,1,2,1,1,1,1,0,3,6,5,5,6,5,6,6,5,4,3,3,4,5,4,4,3,5,2,2,2,7,6,6,6,5,4,4,4,5,5,5,4,3,1,2,5.5,5.5,3.5,4.0,2.75,6.25,4.25,4.75,2.0
102,0,18,1,1,2,2,0,0,0,0,1,5,6,5,5,2,4,5,4,3,4,3,5,5,4,3,6,3,3,5,3,6,5,5,6,6,7,6,7,3,2,3,4,5,4,6,5.25,3.75,3.75,4.5,3.5,5.5,6.5,3.0,5.0
103,1,20,1,1,4,4,1,1,0,0,1,7,7,7,7,6,6,5,7,4,3,4,4,5,3,4,5,3,2,1,3,7,7,7,6,5,5,4,5,2,3,3,3,5,4,5,7.0,6.0,3.75,4.25,2.25,6.75,4.75,2.75,4.667
